"State","averageACTScore","meetingEnglish","meetingReading","meetingMath","meetingScience"
"Connecticut","25.6000","90","75","71","67"
"Massachusetts","25.5000","88","74","74","66"
"New Hampshire","25.1000","88","73","72","64"
"New York","24.5000","83","68","67","62"
"Michigan","24.4000","84","67","65","60"
"Rhode Island","24.2000","85","69","64","58"
"Vermont","24.1000","83","69","63","60"
"Maine","24","84","69","64","56"
"Virginia","23.9000","80","66","60","57"
"Illinois","23.9000","82","64","61","55"
"Colorado","23.9000","82","65","61","57"
"Delaware","23.8000","79","64","59","56"
"New Jersey","23.7000","79","63","62","53"
"Pennsylvania","23.5000","80","64","60","55"
"California","22.7000","72","56","53","46"
"Maryland","22.5000","69","57","50","47"
"Indiana","22.5000","73","57","53","47"
"Idaho","22.3000","73","58","49","46"
"Washington","22.2000","65","54","52","47"
"South Dakota","21.9000","68","54","49","46"
"Iowa","21.8000","70","54","44","45"
"Kansas","21.6000","67","52","44","41"
"Georgia","21.4000","65","49","40","39"
"Oregon","21.3000","63","49","43","40"
"Minnesota","21.3000","60","48","47","42"
"Alaska","20.8000","60","49","42","36"
"Texas","20.6000","56","44","39","35"
"Wisconsin","20.5000","59","42","40","36"
"Utah","20.4000","58","43","36","34"
"West Virginia","20.3000","61","46","30","32"
"Ohio","20.3000","55","43","38","35"
"North Dakota","20.3000","57","43","39","34"
"Kentucky","20.2000","59","43","33","32"
"Nebraska","20.1000","56","40","35","33"
"Wyoming","20","55","41","33","33"
"Montana","20","52","41","35","32"
"Missouri","20","56","41","33","32"
"Florida","19.9000","53","43","32","29"
"Tennessee","19.6000","54","38","28","28"
"New Mexico","19.4000","48","37","28","27"
"Arkansas","19.4000","53","36","27","26"
"Oklahoma","19.3000","50","39","26","26"
"Louisiana","19.2000","53","35","24","25"
"Arizona","19.2000","47","35","32","27"
"North Carolina","19.1000","46","35","31","25"
"Alabama","19.1000","51","35","23","24"
"Hawaii","18.9000","48","32","28","24"
"Mississippi","18.6000","47","29","21","20"
"South Carolina","18.3000","42","30","24","20"
"Nevada","17.7000","38","27","21","18"